-628,124,-2427,699,-570,212
-661,160,-2314,634,-575,282
-589,243,-2206,582,-410,630
-452,313,-2127,554,-198,590
-352,356,-2084,509,-3,439
-274,371,-2077,412,153,281
-213,362,-2063,332,288,152
-181,338,-2091,265,386,60
-178,318,-2172,242,409,-5
-197,310,-2306,251,344,-44
-203,309,-2460,305,301,-26
-224,326,-2633,329,314,57
-241,347,-2846,310,333,195
-220,374,-3072,255,283,402
-64,454,-3399,157,158,310
252,577,-3799,-43,-141,550
553,670,-3928,-381,-636,322
672,674,-4002,-770,-1076,-53
632,572,-3948,-1147,-1437,-417
525,404,-3754,-1535,-1689,-591
438,236,-3428,-1665,-1745,-579
398,94,-2997,-2279,-1552,-484
389,2,-2521,-2429,-1187,-399
389,-48,-2040,-2641,-780,-394
382,-85,-1567,-2705,-634,-468
350,-116,-1146,-2615,-39,-605
287,-154,-770,-2388,240,-752
211,-189,-453,-2061,386,-844
156,-200,-216,-1694,704,-909
123,-201,-60,-1289,988,-771
83,-200,7,-837,1149,-1229
41,-234,40,-336,1160,-1339
-20,-275,14,216,1116,-1552
-108,-311,-25,799,1120,-1723
-203,-333,-172,1363,1312,-1833
-315,-378,-502,1582,1633,-1901
-464,-403,-1054,1980,1763,-1990
-630,-380,-1749,2319,1591,-2178
-621,-350,-2508,2686,1564,-2301
-1181,-264,-3372,2664,1698,-2203
-1461,-11,-4192,2360,1344,-1977
-1681,294,-4715,1988,326,-1761
-1812,561,-4916,1562,-112,-1461
-2114,776,-4875,971,-943,-961
-2297,892,-4755,243,-841,-409
-2256,887,-4602,-441,-786,13
-2089,779,-4380,-984,-810,310
-1887,626,-4080,-1414,-945,294
-1698,542,-3720,-1773,-1073,754
-1525,356,-3322,-2064,-1155,966
-1342,175,-2912,-2288,-1166,1157
-1183,7,-2506,-2427,-1135,1236
-1071,-136,-2383,-2418,-1165,1331
-1004,-283,-1794,-2251,-1271,1361
-1002,-366,-1747,-2013,-1393,1397
-1021,-451,-1484,-1756,-1477,1460
-1034,-564,-1219,-1453,-1567,1549
-1020,-641,-972,-1099,-1614,1678
-981,-665,-602,-699,-1553,1832
-910,-651,-448,-287,-1462,2007
-793,-602,-360,78,-1285,2189
-619,-545,-335,137,-1077,2362
-413,-455,-353,710,-956,2445
-208,-344,-361,864,-895,2397
-46,-235,-361,1153,-773,2231
78,-131,-397,1425,-534,2055
135,-13,-533,1684,-504,1899
248,111,-724,1894,-167,1646
361,210,-908,2136,-137,1298
437,306,-1147,2410,-61,1245
486,360,-1528,2587,207,1008
529,463,-2002,2664,413,634
554,590,-2203,2705,352,343
541,650,-2671,2659,244,40
486,668,-3083,2461,317,-181
375,692,-3452,2087,500,-315
211,693,-3692,1904,592,-354
65,666,-3767,1449,490,-308
228,637,-3681,1102,335,-218
-50,626,-3528,806,503,-139
-70,611,-3328,517,240,-104
-90,557,-3096,256,246,-112
-134,521,-2841,70,220,-150
-203,458,-2581,-36,178,-164
-277,404,-2374,-101,162,-157
-314,349,-2215,-154,185,-116
-326,310,-2154,-202,217,-79
-332,295,-2057,-200,185,-103
-355,290,-1975,-123,92,-144
-366,284,-1929,-28,37,-157
-366,277,-1935,9,66,-135
-358,274,-1997,62,107,-123
-356,276,-2082,111,103,-144
-359,279,-2174,156,51,-180
-370,277,-2243,191,24,-176
-377,281,-2291,192,-11,-136
-366,288,-2328,172,-32,-101
-346,305,-2340,145,-52,-93
-329,314,-2334,109,-48,-88
-315,316,-2330,65,-25,-78
