-583,323,-2426,370,-405,374
-580,346,-2412,405,-391,529
-576,370,-2354,425,-450,607
-557,381,-2330,372,-212,618
-507,396,-2340,294,130,537
-451,416,-2390,214,176,346
-429,429,-2471,163,116,140
-476,461,-2579,114,-8,52
-564,482,-2691,57,-112,-61
-691,518,-2768,-62,-74,-36
-790,582,-2944,-234,-29,129
-730,678,-3097,-451,-64,347
-542,765,-3157,-698,-124,524
-310,841,-3128,-818,-169,593
-73,892,-3052,-1019,-243,514
42,889,-2934,-1171,-361,304
230,829,-2786,-1304,-474,22
354,986,-2584,-1453,-528,-277
409,614,-2349,-1577,-617,-536
424,742,-2084,-1648,-679,-734
420,429,-1826,-1664,-666,-880
411,340,-1597,-1644,-554,-989
404,269,-1376,-1587,-386,-1042
384,200,-1183,-1468,-201,-1167
340,120,-1264,-1288,-36,-1313
259,32,-928,-1044,118,-1465
158,-66,-798,-750,282,-1601
53,-142,-710,-689,451,-1690
-42,-202,-643,-365,669,-1726
-133,-271,-635,54,924,-1754
-241,-353,-672,381,1143,-1815
-384,-421,-727,722,1067,-1852
-464,-469,-799,1043,1355,-1729
-609,-498,-951,1291,1837,-1478
-769,-495,-1343,1542,2285,-1247
-937,-450,-1869,1814,2399,-1143
-1098,-329,-2505,2093,2163,-1125
-1245,-99,-3194,2236,1735,-1103
-1321,16,-3930,2169,1197,-1087
-1425,577,-4978,1999,514,-1256
-1609,990,-5431,1554,-698,-1451
-1803,1032,-5066,571,-1161,-935
-1930,938,-4945,-363,-885,-439
-1900,760,-4589,-958,-801,-66
-1789,587,-4292,-1352,-816,186
-1678,409,-3881,-1674,-879,407
-1573,228,-3529,-1917,-976,594
-1495,57,-3138,-2060,-1053,705
-1503,-127,-2782,-2089,-1150,744
-1541,-350,-2401,-2292,-1249,881
-1544,-543,-2022,-1955,-1252,1159
-1498,-691,-1640,-1858,-1137,1502
-1395,-772,-1299,-1983,-930,1856
-1225,-800,-1062,-1547,-782,2176
-1024,-761,-867,-1440,-745,2401
-814,-693,-684,-1209,-723,2537
-620,-622,-508,-986,-581,2631
-701,-545,-377,-765,-317,2729
-363,-463,-315,-557,-80,2756
-223,-394,-256,-311,-219,2650
-146,-374,-248,27,62,2518
-93,-343,-327,400,98,2484
21,-305,-492,781,64,2481
229,-164,-670,1162,-126,2436
457,9,-559,1516,-356,2203
636,139,-895,1860,-452,1861
787,281,-1136,2172,-436,1534
901,427,-1467,2149,-411,1177
949,525,-1876,2339,-475,708
888,567,-2280,2663,-526,248
993,595,-2702,2721,-495,-97
647,617,-3113,2615,-499,-284
461,630,-3360,2331,-584,-330
314,676,-3447,2001,-610,-304
226,714,-3470,1643,-560,-299
163,708,-3437,1293,-467,-342
72,692,-3373,1002,-446,-405
-33,656,-3279,748,-479,-426
-127,605,-3138,511,-510,-429
-197,550,-2969,280,-474,-393
-250,483,-2873,45,-381,-349
-297,405,-2656,-145,-278,-300
-335,330,-2434,-247,-218,-269
-373,272,-2237,-267,-188,-275
-424,224,-2086,-265,-153,-291
-474,172,-1983,-242,-82,-268
-502,153,-1916,-187,42,-220
-506,143,-1896,-94,169,-187
-511,154,-1928,8,13,-182
-505,170,-1995,84,298,-197
-502,179,-2064,134,315,-223
-509,192,-2152,177,261,-5
-529,195,-2235,199,153,-276
-547,188,-2052,172,70,-266
-552,189,-2329,103,24,-221
-544,192,-2361,19,-14,-183
-532,192,-2334,-66,-58,-139
-509,193,-2260,-128,-56,-92
-481,184,-2198,-153,-33,-53
-450,177,-2155,-186,-16,-31
