-130,445,-2083,170,-447,92
-151,413,-2100,197,-300,179
-153,413,-2091,158,-228,234
-128,426,-2099,98,-66,203
-103,432,-2129,32,82,97
-84,448,-2179,-49,150,29
-83,425,-2188,-97,149,-76
-97,408,-2190,-119,150,-115
-97,415,-2184,-128,165,-131
-86,432,-2184,-106,177,-147
-87,436,-2197,-102,171,-139
-106,449,-2199,-102,165,-133
-190,435,-2211,-107,153,-131
-275,418,-2243,-105,87,-137
-553,391,-2272,-88,3,-144
-1002,337,-2308,-16,-334,-157
-1592,270,-2294,128,-921,-62
-2227,56,-2113,254,-1340,117
-2723,-196,-1973,257,-1145,708
-2959,-449,-1880,238,-778,1486
-2840,-667,-1994,314,-550,2337
-2283,-735,-1540,500,-344,3185
-1250,-583,-1942,633,-194,3744
20,-264,-2345,492,-188,3760
968,35,-2603,457,-295,3253
1442,196,-2696,219,-449,2601
1624,253,-2669,-116,-621,1997
1653,267,-2585,-220,-706,1528
1620,278,-2472,-277,-673,1173
1583,279,-2337,-313,-526,895
1473,274,-2203,-316,-360,661
1343,263,-2062,-280,-269,510
1225,261,-1910,-244,-55,401
1114,250,-1756,-206,155,275
972,195,-1591,-142,301,151
812,107,-1403,-52,389,100
673,-11,-1429,22,483,31
586,-152,-1029,80,597,-4
569,-367,-643,206,772,3
599,-596,-116,349,1119,62
683,-720,352,823,1533,65
728,-722,627,1513,1708,-24
714,-862,394,2433,2129,-182
624,-873,-516,3539,2229,-223
623,-1283,-1990,4423,2229,-151
818,-1420,-3573,4631,2156,-83
805,-1316,-4757,4289,1719,-709
524,-1134,-4933,3650,991,-826
268,-905,-5319,2856,596,-775
288,-693,-4935,2065,530,-455
496,-506,-4680,1472,292,-258
730,-364,-4478,1043,-216,-316
888,-324,-4245,907,-647,-480
946,-339,-4010,507,-751,-594
993,-357,-3836,48,-678,-631
1179,-317,-3746,-343,-588,-644
1337,-236,-3767,-693,-646,-812
1688,-206,-3837,-1043,-666,-1217
2006,-303,-3851,-1383,-1196,-1783
2097,-527,-3702,-1715,-1635,-2325
1886,-803,-3464,-2075,-1974,-2604
1551,-825,-3131,-2476,-1956,-2595
1118,-1231,-2735,-2811,-1656,-2434
684,-1257,-2354,-3006,-1272,-2192
291,-1205,-1967,-3025,-1073,-1953
-69,-1148,-1514,-2853,-1089,-1672
-411,-1053,-1085,-2631,-889,-1230
-691,-896,-820,-2395,-376,-965
-895,-798,-711,-2075,-22,-265
-945,-566,-682,-1589,-42,-177
-835,-339,-695,-1135,-170,208
-654,-109,-762,-828,-127,332
-515,69,-830,-597,-6,297
-436,180,-1002,-402,40,236
-365,240,-1193,-456,-34,214
-303,322,-1383,-253,-214,221
-482,403,-1549,77,-352,226
-131,462,-1673,190,-362,205
-93,524,-1785,254,-291,126
-63,549,-1880,261,-245,40
-78,541,-1997,289,-229,17
-97,546,-2091,301,-259,52
-100,575,-2161,303,-314,71
-82,603,-2183,293,-370,80
-49,615,-2176,275,-349,82
-35,630,-2157,230,-187,96
-43,629,-2175,177,9,92
-79,616,-2223,152,90,85
-84,588,-2234,124,52,90
-74,573,-2185,105,125,117
-47,579,-2152,58,222,142
-32,586,-2170,5,412,135
-31,600,-2195,-17,431,120
-26,598,-2178,-4,297,90
-18,595,-2170,25,155,79
-14,589,-2154,48,60,64
-26,581,-2139,58,6,46
-43,565,-2140,76,-37,45
-53,569,-2131,81,-62,43
-57,574,-2137,88,-66,38
