-271,1208,-1650,361,-874,-171
-348,1256,-1700,526,-754,-194
-385,1278,-1737,478,-491,-167
-388,1281,-1743,333,-177,-134
-411,1267,-1781,139,81,-110
-460,1227,-1803,12,219,-58
-485,1203,-1793,-44,264,32
-454,1195,-1773,-61,291,68
-391,1137,-1688,-84,377,89
-358,1069,-1580,-78,503,138
-280,983,-1449,32,516,272
-168,955,-1450,279,481,300
19,867,-1429,467,414,271
250,816,-1387,511,413,167
452,726,-1311,523,476,99
643,604,-1251,544,576,-44
849,471,-1224,606,647,-206
1056,404,-1138,754,704,-410
1240,426,-1086,960,807,-648
1454,406,-1106,1066,971,-958
1622,366,-1186,1283,1181,-1402
1648,313,-1347,1512,1398,-1950
1589,191,-1631,1742,1534,-2494
1388,20,-1969,1983,1681,-2951
1121,-175,-2393,2135,1849,-3291
731,-331,-2955,2140,2263,-3497
231,-419,-3556,2078,2350,-3585
-302,-486,-3956,2064,1744,-3530
-786,-487,-4001,1877,1089,-3560
-1209,-431,-3932,1459,934,-3158
-1619,-337,-3839,965,974,-2587
-1920,-233,-3726,575,812,-2007
-2031,-139,-3754,373,323,-1397
-2028,-81,-3429,258,-160,-909
-2039,-77,-3016,94,-255,-414
-2035,-103,-2761,-113,-65,125
-2031,-214,-2615,-267,132,635
-2058,-405,-2574,-309,57,1043
-2167,-649,-2495,-310,-99,1416
-2300,-941,-2435,-393,1,2024
-2556,-1194,-2553,-447,90,2833
-2241,-1341,-2858,-468,-312,3584
-1767,-1346,-3138,-409,-965,4127
-754,-1146,-3294,-571,-1276,4352
268,-840,-3320,-987,-1378,4187
1156,-515,-3187,-1301,-1483,3713
1778,-233,-2837,-1359,-1919,2964
1985,-140,-2460,-1191,-2265,2336
1938,-74,-2160,-1042,-1965,2051
1984,-223,-2003,-972,-1433,1830
1932,79,-1815,-841,-1187,1565
1777,81,-1549,-671,-951,1362
1575,30,-1339,-477,-554,1351
1493,17,-1171,-300,-150,1362
1524,91,-1250,-109,118,1253
1556,128,-894,153,246,962
1546,112,-721,493,361,591
1576,60,-613,568,566,232
1639,5,-580,985,862,-141
1706,-64,-544,1291,1238,-528
1734,-144,-641,1703,1296,-1028
1729,-319,-1000,2210,1754,-1669
1608,-573,-1450,2741,1440,-2402
1275,-965,-1879,3207,1073,-2937
811,-1149,-2434,3439,1399,-2945
388,-1604,-3247,3386,2125,-2713
81,-1578,-3823,3182,2296,-2467
-141,-1506,-3977,2938,1971,-2495
-279,-1349,-3948,2561,1767,-2253
-403,-1182,-3944,2117,1646,-2016
-609,-952,-4168,1776,1282,-1571
-849,-688,-4317,1429,599,-1436
-933,-516,-4152,882,110,-995
-752,-474,-3896,236,-91,-447
-395,-477,-3369,-248,-128,-32
-13,-518,-2863,-546,-199,198
318,-571,-2400,-695,-264,338
590,-630,-2025,-760,-229,449
793,-689,-1754,-771,-115,533
933,-721,-1597,-746,16,545
1000,-723,-1540,-631,93,457
990,-706,-1589,-448,77,322
916,-672,-1710,-252,51,225
826,-618,-1853,-107,21,163
751,-588,-2026,-34,43,102
676,-522,-2186,-13,54,69
596,-491,-2290,-20,-18,12
562,-470,-2324,-52,-114,-11
518,-485,-2305,-137,-138,82
558,-496,-2248,-221,-85,186
613,-507,-2169,-294,12,268
680,-523,-2091,-317,68,300
730,-536,-2021,-338,41,294
746,-540,-1963,-297,232,257
766,-530,-1932,-229,-38,174
764,-516,-1956,-135,-71,72
725,-512,-2005,-41,-122,232
675,-502,-2057,47,-186,-89
637,-489,-2104,101,-209,-113
588,-481,-2137,102,-182,-128
