-56,-268,-2116,190,-44,-61
-41,-287,-2167,177,230,-25
-25,-281,-2235,120,284,6
-17,-289,-2229,54,257,15
-20,-301,-2194,-7,264,34
-28,-306,-2198,-60,291,41
-22,-304,-2217,-148,265,29
-3,-289,-2215,-199,238,6
7,-257,-2201,-170,222,-44
7,-246,-2186,-100,281,-82
20,-249,-2189,-253,314,-108
38,-255,-2194,77,208,-108
42,-276,-2229,244,135,-87
50,-247,-2308,277,123,-78
33,-167,-2476,285,127,-88
3,-247,-2797,283,161,-130
-76,132,-3355,267,187,-211
-228,389,-3781,174,173,-218
-204,567,-4498,67,26,-202
-36,564,-5116,-86,-329,-376
44,222,-5617,-130,-753,-599
-93,-373,-5693,-655,-888,-525
-206,-962,-5473,-1228,-843,-151
-166,-1348,-5093,-1890,-1113,188
-20,-1612,-4242,-2627,-1430,618
50,-1566,-3063,-3331,-1487,956
135,-1422,-2046,-3770,-1489,1090
186,-1125,-1197,-3883,-1479,1190
153,-865,-627,-3784,-1278,1172
112,-614,-263,-3653,-878,1119
76,-499,-62,-3449,-450,1274
33,-312,39,-3091,-169,891
31,-128,16,-2656,-57,810
63,8,13,-2268,10,650
55,107,-21,-2149,109,534
52,233,-69,-1711,181,460
71,365,-103,-1335,133,361
81,475,-98,-932,18,232
108,540,-56,-552,-25,112
140,555,-12,-197,-77,7
166,577,30,161,-91,-45
169,581,54,509,-61,-161
187,535,59,852,-35,-313
187,378,105,937,-24,-459
155,137,201,1388,3,-517
117,-61,336,1841,157,-459
68,-133,411,2298,299,-416
51,-146,246,2738,665,-463
2,-176,-309,3170,762,-583
45,-306,-522,3590,169,-670
101,-474,-1289,3788,-213,-815
6,-792,-1903,3610,671,-754
-196,-1044,-3042,3415,1752,-681
-378,-1073,-4247,3333,1405,-607
-378,-969,-4669,3322,291,-506
-343,-855,-4294,2892,83,-315
-422,-823,-3922,2452,1083,107
-304,-704,-4111,2014,1726,482
-170,-472,-4345,1837,1609,596
88,-180,-4336,1764,986,455
229,-150,-4206,1653,554,218
174,185,-4095,1351,552,36
65,265,-3995,854,641,-70
-34,239,-4006,358,419,-90
-103,124,-3555,-26,-46,-109
-125,-83,-3116,-326,-446,-89
-124,-280,-2683,-273,-645,-63
-108,-470,-2361,-665,-738,-81
-80,-604,-2102,-685,-845,-115
-60,-692,-1930,-655,-904,-141
-52,-714,-1835,-633,-981,-140
-47,-676,-1723,-524,-905,-130
-46,-621,-1712,-373,-798,-124
-68,-554,-1764,-204,-512,-105
-108,-530,-1900,-57,-191,-79
-149,-469,-2051,58,3,-59
-185,-409,-2205,102,91,-59
-206,-351,-2258,115,75,-59
-232,-305,-2311,97,83,-72
-247,-302,-2354,42,97,-66
-246,-303,-2341,20,101,-52
-240,-325,-2331,-19,91,-43
-235,-340,-2304,-68,14,-45
-215,-361,-2238,-95,-20,-66
-206,-399,-2190,-134,-47,-76
-204,-413,-2132,-168,-71,-73
-203,-435,-2083,-155,-97,-64
-204,-453,-2298,-113,-93,-52
-210,-463,-1798,-73,-38,-20
-205,-456,-2063,-32,-10,16
-205,-433,-2087,-2,13,32
-204,-407,-2145,-1,19,45
-202,-373,-2168,1,28,46
-198,-354,-2188,7,49,47
-197,-345,-2212,6,65,45
-185,-344,-2239,-12,64,36
-172,-339,-2230,-22,24,11
-159,-338,-2207,-33,18,-6
-161,-352,-2208,-48,29,-41
-167,-367,-2200,-58,1,-63
