0.044400,-0.092200,0.085800,269.200000,-283.400000,227.000000
0.090400,-0.009200,0.035800,108.200000,-118.400000,59.000000
0.025400,0.029800,-0.008700,181.200000,62.600000,-54.000000
-0.043600,0.037800,-0.045200,-244.800000,162.600000,-102.000000
-0.116600,0.033800,-0.067700,-313.800000,176.600000,-130.000000
-0.236600,0.035800,-0.089700,-420.800000,179.600000,-138.000000
-0.416600,0.025800,-0.120700,-512.800000,152.600000,-95.000000
-0.521600,0.026800,-0.124200,-637.800000,132.600000,48.000000
-0.725600,0.033800,-0.097200,-765.800000,50.600000,246.000000
-0.884600,0.277800,-0.026200,-799.800000,-30.400000,446.000000
-0.973600,-0.030200,0.060800,-735.800000,-240.400000,640.000000
-0.998600,-0.073200,0.153800,-626.800000,-482.400000,603.000000
-0.979600,-0.196200,0.258800,-491.800000,-719.400000,878.000000
-0.901600,-0.341200,0.360300,-339.800000,-887.400000,1303.000000
-0.722600,-0.454200,0.317800,-172.800000,-980.400000,1683.000000
-0.428600,-0.506200,0.533800,-22.800000,-1023.400000,2063.000000
-0.077600,-0.519200,0.571300,96.200000,-984.400000,2288.000000
0.249400,-0.565200,0.634300,226.200000,-941.400000,2297.000000
0.527400,-0.652200,0.658300,442.200000,-893.400000,2191.000000
0.788400,-0.759200,0.648800,747.200000,-757.400000,2115.000000
0.788400,-0.812200,0.591800,912.200000,-541.400000,2029.000000
1.040400,-0.863200,0.517800,1199.200000,-312.400000,1892.000000
1.416400,-0.893200,0.457800,1436.200000,-326.400000,1721.000000
1.650400,-0.894200,0.396800,1667.200000,-113.400000,1466.000000
1.873400,-0.907200,0.342800,1900.200000,223.600000,1055.000000
2.050400,-0.939200,0.264800,2222.200000,285.600000,508.000000
2.158400,-0.949200,0.155800,2585.200000,232.600000,173.000000
2.213400,-1.007200,0.013300,2912.200000,187.600000,-387.000000
2.247400,-1.068200,-0.175700,3184.200000,201.600000,-918.000000
2.260400,-1.120200,-0.298700,3366.200000,219.600000,-1438.000000
