-275,536,-2207,58,236,-40
-254,575,-2216,6,355,-8
-226,603,-2223,-29,407,-27
-216,622,-2252,-92,509,-39
-222,629,-2305,-178,578,-45
-262,656,-2373,-308,610,-48
-342,672,-2422,-402,576,-69
-481,714,-2400,-450,485,-73
-668,758,-2375,-480,448,-65
-910,727,-2338,-464,359,-35
-1164,599,-2290,-416,134,71
-1364,413,-2140,-381,-105,249
-1458,168,-1886,-338,-213,548
-1426,-39,-1479,-344,-202,947
-1344,-131,-994,-277,-169,1361
-1033,-196,-604,-65,-170,1668
-606,-299,-438,309,-157,1838
-173,-439,-532,706,-120,1943
284,-506,-624,995,28,2032
825,-537,-614,1210,410,2286
1340,-531,-768,1441,912,1949
1740,-562,-785,1765,1126,1653
2036,-596,-1170,2170,950,1237
2280,-607,-1609,2658,418,724
2487,-593,-1911,3047,-27,133
2623,-621,-2176,3225,55,-466
2637,-706,-2637,3274,260,-1079
2506,-817,-3153,3278,44,-1712
2519,-922,-3430,3227,-144,-2283
2212,-1040,-3605,2988,252,-2666
1895,-1137,-3858,2576,518,-2897
1492,-1169,-4135,2186,792,-3154
1176,-1216,-4333,1862,671,-3418
795,-1244,-4533,1457,82,-3551
304,-1213,-4793,865,-34,-3508
-193,-1186,-5037,212,-545,-3419
-616,-1256,-4899,-380,-1475,-3084
-932,-1337,-4557,-1025,-2017,-2605
-1061,-1350,-4388,-1754,-1835,-2023
-1050,-1294,-4328,-2452,-1497,-1168
-1019,-1258,-4126,-2980,-1471,-530
-1073,-1302,-3669,-3342,-1638,-371
-1115,-1323,-3010,-3562,-1703,175
-1055,-1210,-2453,-3635,-1481,636
-965,-995,-2082,-3596,-1291,1138
-898,-838,-1632,-3466,-1286,1106
-815,-701,-1428,-3215,-1276,1481
-708,-523,-842,-2921,-1149,1666
-591,-357,-688,-2598,-1000,1768
-464,-255,-597,-2253,-1000,1813
-318,-173,-540,-1910,-1061,1853
-143,-94,-412,-1602,-1016,1890
49,-3,-284,-1317,-830,1888
256,80,-167,-1035,-582,1811
463,135,-20,-970,-338,1640
616,158,124,-543,-129,1378
703,120,257,-168,-254,1084
734,34,361,275,31,766
782,-128,510,773,67,406
809,-215,652,1330,117,51
765,-388,782,1919,150,-106
666,-569,823,2589,246,-357
557,-817,784,3317,517,-415
449,-1131,408,4063,800,-297
329,-1524,-464,4397,513,-152
356,-2052,-1621,5209,-111,36
368,-2480,-2816,5948,53,156
732,-2549,-4089,5749,1018,253
650,-2147,-5268,4970,1229,246
558,-1662,-5648,4138,397,36
421,-1345,-5305,3370,-593,27
382,-1069,-4795,2608,-1009,120
389,-920,-4560,1831,-372,370
470,-771,-4676,1294,345,283
578,-485,-4809,837,518,406
618,-342,-4621,348,232,274
582,-354,-4378,-161,-90,15
483,-476,-3828,-650,-243,-143
367,-631,-3204,-1009,-287,-165
295,-784,-2625,-1194,-271,-95
262,-897,-2154,-1255,-236,2
267,-954,-1798,-1241,-178,70
291,-935,-1563,-1148,-145,62
307,-887,-1436,-1010,-195,-45
296,-828,-1365,-803,-39,-255
290,-812,-1376,-535,-365,-410
216,-781,-1465,-264,-454,-474
124,-725,-1631,-61,-427,-477
48,-690,-1836,75,-347,-473
-12,-622,-2031,151,-268,-473
-69,-568,-2199,171,-205,-467
-125,-538,-2058,135,-169,-424
-163,-525,-2351,62,-144,-348
-178,-525,-2376,-29,-116,-258
-164,-546,-2358,-135,-69,-161
-141,-568,-2307,-217,-17,-60
-106,-598,-2241,-15,36,40
-62,-616,-2202,-285,68,127
-36,-633,-2159,-294,80,184
3,-647,-2103,-294,105,236
