468,819,-1824,519,-312,-525
159,851,-1850,452,-79,-530
98,880,-1882,359,163,-572
60,890,-1953,266,41,-611
-21,884,-2017,225,306,-636
-117,880,-2088,220,263,-625
-215,883,-2160,160,302,-572
-333,902,-2252,48,438,-539
-519,916,-2076,-24,471,-455
-749,919,-2360,-21,271,-350
-964,911,-2334,8,-31,-195
-1137,905,-2224,-59,-50,34
-1280,872,-2124,-197,135,303
-1372,799,-1955,-280,327,645
-1356,744,-1727,-419,466,1016
-1512,670,-1503,-502,484,1321
-1179,488,-1192,-513,256,1646
-944,353,-914,-335,628,1962
-633,471,-698,-127,698,2217
-277,71,-469,50,951,2484
125,-1,-349,224,1320,2698
533,-200,-379,445,1663,2762
900,-426,-281,836,1762,2751
1232,-591,-603,1327,1591,2596
1580,-701,-693,1871,1418,2398
1892,-777,-817,2204,1271,2059
2117,-876,-1067,2754,1062,1627
2286,-994,-1423,3205,709,1219
2448,-1063,-1740,3637,382,843
2320,-1074,-1992,3856,246,457
2675,-1071,-2250,3941,156,73
2726,-1055,-2513,3968,218,-335
2824,-1038,-2727,3947,-21,-826
2888,-1036,-2934,3855,-378,-1482
2804,-1047,-3214,3720,-655,-2243
2556,-1088,-3550,3584,-1219,-2945
2243,-1101,-3821,3375,-2135,-3559
1901,-1148,-3939,3036,-3216,-4091
1458,-1239,-3898,2597,-4142,-4414
873,-1317,-3846,1857,-4233,-4517
221,-1452,-3953,878,-3622,-4016
-333,-1540,-3987,-95,-3107,-3409
-729,-1641,-3879,-949,-2818,-3019
-977,-1753,-3720,-1656,-2533,-2164
-1122,-1787,-3639,-2313,-2055,-1416
-1196,-1769,-3597,-2942,-1603,-701
-1253,-1796,-3412,-3373,-1506,-160
-1332,-1844,-3272,-3616,-1620,391
-1289,-1800,-2590,-3708,-1646,1089
-1093,-1576,-2519,-3740,-1543,1646
-874,-1307,-2169,-3719,-1478,1954
-723,-1038,-1588,-3598,-1462,2111
-626,-827,-1297,-3370,-1577,2207
-514,-626,-1175,-3069,-1682,2344
-301,-413,-954,-2769,-1693,2441
-68,-169,-726,-2491,-1540,2381
97,27,-517,-2159,-1323,2197
208,162,-357,-1793,-1103,2019
335,258,-244,-1662,-899,1889
258,363,-154,-1194,-789,1706
676,452,-56,-752,-707,1396
724,472,55,-310,-757,1014
776,422,127,110,-408,698
807,365,162,510,80,475
859,338,151,899,552,510
870,241,41,1292,899,116
809,27,-53,1758,899,-182
673,-282,-61,2285,761,-397
444,-606,-69,2592,854,-399
165,-979,-251,3183,1099,-126
32,-1355,-620,3756,1190,425
130,-1629,-1152,4447,964,903
264,-1869,-1677,5072,983,1143
582,-2086,-2322,5378,1251,1281
891,-2174,-3221,5373,1671,1351
1095,-2284,-4036,5256,1204,1115
1219,-1803,-4318,4922,427,730
1228,-1653,-4463,4180,627,576
1109,-1566,-4701,3404,689,698
1039,-1366,-4654,2883,-336,400
1029,-1222,-4598,2445,-1361,-13
920,-1095,-4283,1894,-1364,-222
731,-1026,-3880,1262,-661,-196
532,-891,-3855,747,-112,-172
366,-804,-3752,283,-20,-189
251,-784,-3457,175,-165,-207
183,-838,-3045,-139,-234,-199
133,-937,-2620,-638,-266,-173
100,-1035,-2224,-728,-289,-144
108,-1136,-1883,-844,-312,-88
151,-1211,-1608,-834,-325,-19
180,-1250,-1395,-749,-269,20
235,-1277,-1289,-627,-199,34
256,-1265,-1275,-452,-176,33
256,-1242,-1345,-249,-161,32
257,-1214,-1459,-40,-190,26
260,-1156,-1603,122,-168,255
256,-1102,-1783,226,-89,-22
232,-1056,-1975,281,-56,-72
192,-1019,-2056,265,-56,-113
